cwe_id	name	cve_count	avg_score	max_score
451	User Interface (UI) Misrepresentation of Critical Information	82	5.68	8.8
193	Off-by-one Error	81	6.48	10.0
670	Always-Incorrect Control Flow Implementation	80	6.17	9.8
252	Unchecked Return Value	78	6.30	10.0
113	Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting')	77	5.78	9.1
303	Incorrect Implementation of Authentication Algorithm	76	7.40	10.0
620	Unverified Password Change	76	7.33	10.0
807	Reliance on Untrusted Inputs in a Security Decision	76	7.09	10.0
591	Sensitive Data Storage in Improperly Locked Memory	75	7.35	8.8
926	Improper Export of Android Application Components	75	5.37	8.5
1390	Weak Authentication	74	7.27	10.0
358	Improperly Implemented Security Check for Standard	74	6.04	10.0
538	Insertion of Sensitive Information into Externally-Accessible File or Directory	74	6.48	9.9
1286	Improper Validation of Syntactic Correctness of Input	73	6.79	9.8
354	Improper Validation of Integrity Check Value	73	6.91	9.5
130	Improper Handling of Length Parameter Inconsistency	73	6.64	9.3
409	Improper Handling of Highly Compressed Data (Data Amplification)	73	6.88	8.9
377	Insecure Temporary File	70	5.55	9.9
436	Interpretation Conflict	69	6.44	10.0
489	Active Debug Code	69	7.27	10.0
912	Hidden Functionality	69	7.59	10.0
331	Insufficient Entropy	69	6.80	9.8
610	Externally Controlled Reference to a Resource in Another Sphere	68	6.91	10.0
913	Improper Control of Dynamically-Managed Code Resources	66	7.44	10.0
697	Incorrect Comparison	64	6.96	10.0
799	Improper Control of Interaction Frequency	64	5.97	9.8
598	Use of HTTP Request With Sensitive Query String	64	5.56	9.1
29	Path Traversal: '..filename'	63	8.03	10.0
15	External Control of System or Configuration Setting	61	7.44	10.0
150	Improper Neutralization of Escape, Meta, or Control Sequences	61	6.48	10.0
943	Improper Neutralization of Special Elements in Data Query Logic	61	7.24	10.0
772	Missing Release of Resource after Effective Lifetime	60	6.11	8.7
459	Incomplete Cleanup	59	6.23	10.0
648	Incorrect Use of Privileged APIs	59	7.72	10.0
923	Improper Restriction of Communication Channel to Intended Endpoints	58	6.54	10.0
441	Unintended Proxy or Intermediary ('Confused Deputy')	58	6.84	9.9
704	Incorrect Type Conversion or Cast	58	7.26	9.8
348	Use of Less Trusted Source	57	6.39	10.0
91	XML Injection (aka Blind XPath Injection)	56	7.17	9.4
257	Storing Passwords in a Recoverable Format	56	6.29	9.1
87	Improper Neutralization of Alternate XSS Syntax	55	6.58	9.7
614	Sensitive Cookie in HTTPS Session Without 'Secure' Attribute	55	5.66	8.8
212	Improper Removal of Sensitive Information Before Storage or Transfer	54	5.77	9.8
669	Incorrect Resource Transfer Between Spheres	54	5.61	9.8
90	Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')	53	6.65	9.1
99	Improper Control of Resource Identifiers ('Resource Injection')	53	6.10	9.1
379	Creation of Temporary File in Directory with Insecure Permissions	53	6.58	8.8
197	Numeric Truncation Error	52	7.54	9.8
706	Use of Incorrectly-Resolved Name or Reference	52	6.11	9.8
681	Incorrect Conversion between Numeric Types	52	6.97	9.1
644	Improper Neutralization of HTTP Headers for Scripting Syntax	51	6.14	10.0
916	Use of Password Hash With Insufficient Computational Effort	51	6.45	9.8
325	Missing Cryptographic Step	50	6.25	9.8
682	Incorrect Calculation	49	6.00	10.0
841	Improper Enforcement of Behavioral Workflow	49	6.34	9.8
267	Privilege Defined With Unsafe Actions	48	7.31	9.9
